JobTitle,Company,Location,PostDate,ExtractDate,Summary,Salary,JobUrl
Data Analyst/Scientist,SoluGrowth (Pty) Ltd.,"Johannesburg, Gauteng",Posted 20 days ago,2022-07-06,"Acquire, clean and normalise data.Initial data investigation and exploratory data analysis.Apply data science techniques, such as machine learning,…",,https://za.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A6iYo3LEVtHGk8RnYq6r34rAYKW3d2fqaG6QyhKE3SfONRNIG32xS1yOf95cqT4Dy5HpWOJBFVJd4rMrQZ0MlKAbQo3fx6lDs_K0w_tRJh7HPeXngQ-Z345uGiUqv3fAIJeMM1OlohaMspVq5QPfwsQiHyU3mK8HGOa-nv3XZmquswnE2_bm22OGkrRqBIqPQ4VwuvD3IMDAxT-t6u3qE-_60ZxDPJ_PGpBQF3dQMfQ2shFbg6MQUkXFRwjYB9ASbJ7Xha_iJmTQqkrt-5INjX_laygQ7Fwzmi4i2aBJs6mZDeOc1Flsab6ianRDIDzI2fGqThJRQXwbJ9mz_3HN-4t_nbLmqcFBEz8V_XO0JqavbeH3qT2aSEc9059cWYtDCOJ83aimxqEeFVtHTo6vp5RsL5Fyk68XaWYZLUaDud48PZSqy6n9lHVYVl5FIur8ULcsPSDFg9k8kZ70Ad8Il2qONuL_hS29lay-aPpyHd0m5GkcPPj51u&xkcb=SoD--_M3coFvlD2HAx0LbzkdCdPP&p=0&fvj=1&vjs=3
Quality Engineer,Tirelo People Solutions,"Johannesburg, Gauteng",Posted 30+ days ago,2022-07-06,"The role of the QA Engineer will be to Independently design, develop & enhance test automation scripts/framework.Experience in Developing Automation framework.",R65000 a month,https://za.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A6iYo3LEVtHGk8RnYq6r34rAYKW3d2fqaG6QyhKE3SfONRNIG32xS1yOf95cqT4Dy5HpWOJBFVJd4rMrQZ0MlKAbQo3fx6lDs_K0w_tRJh7HPeXngQ-Z345uGiUqv3fAIJeMM1OlohaMspVq5QPfwsQiHyU3mK8HGOa-nv3XZmquswnE2_bm22OGkrRqBIqPQ4VwuvD3IMDAxT-t6u3qE-_60ZxDPJ_PGpBQF3dQMfQ2shFbg6MQUkXFRwjYB9ASbJ7Xha_iJmTQqkrt-5INjX_laygQ7Fwzmi4i2aBJs6mZDeOc1Flsab6ianRDIDzI2fGqThJRQXwbJ9mz_3HN-4t_nbLmqcFBEz8V_XO0JqavbeH3qT2aSEc9059cWYtDCOJ83aimxqEeFVtHTo6vp5RsL5Fyk68XaWYZLUaDud48PZSqy6n9lHVYVl5FIur8ULcsPSDFg9k8kZ70Ad8Il2qONuL_hS29lay-aPpyHd0m5GkcPPj51u&xkcb=SoD--_M3coFvlD2HAx0LbzkdCdPP&p=0&fvj=1&vjs=3
IT Security Analyst,FirstRand,"Johannesburg, Gauteng",Posted 4 days ago,2022-07-06,All appointments will be made in line with the Bank’s Employment Equity plan The Bank supports the recruitment and advancement of individuals with disabilities.,,https://za.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A6iYo3LEVtHGk8RnYq6r34rAYKW3d2fqaG6QyhKE3SfONRNIG32xS1yOf95cqT4Dy5HpWOJBFVJd4rMrQZ0MlKAbQo3fx6lDs_K0w_tRJh7HPeXngQ-Z345uGiUqv3fAIJeMM1OlohaMspVq5QPfwsQiHyU3mK8HGOa-nv3XZmquswnE2_bm22OGkrRqBIqPQ4VwuvD3IMDAxT-t6u3qE-_60ZxDPJ_PGpBQF3dQMfQ2shFbg6MQUkXFRwjYB9ASbJ7Xha_iJmTQqkrt-5INjX_laygQ7Fwzmi4i2aBJs6mZDeOc1Flsab6ianRDIDzI2fGqThJRQXwbJ9mz_3HN-4t_nbLmqcFBEz8V_XO0JqavbeH3qT2aSEc9059cWYtDCOJ83aimxqEeFVtHTo6vp5RsL5Fyk68XaWYZLUaDud48PZSqy6n9lHVYVl5FIur8ULcsPSDFg9k8kZ70Ad8Il2qONuL_hS29lay-aPpyHd0m5GkcPPj51u&xkcb=SoD--_M3coFvlD2HAx0LbzkdCdPP&p=0&fvj=1&vjs=3
BI Data Analyst II,The Focus Group,"Johannesburg, Gauteng",Posted 30+ days ago,2022-07-06,Some scripting programming preferable i.e. python or Java.Data Warehousing Principles & Processes NB.Some basic understanding of data modelling as well.,,https://za.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A6iYo3LEVtHGk8RnYq6r34rAYKW3d2fqaG6QyhKE3SfONRNIG32xS1yOf95cqT4Dy5HpWOJBFVJd4rMrQZ0MlKAbQo3fx6lDs_K0w_tRJh7HPeXngQ-Z345uGiUqv3fAIJeMM1OlohaMspVq5QPfwsQiHyU3mK8HGOa-nv3XZmquswnE2_bm22OGkrRqBIqPQ4VwuvD3IMDAxT-t6u3qE-_60ZxDPJ_PGpBQF3dQMfQ2shFbg6MQUkXFRwjYB9ASbJ7Xha_iJmTQqkrt-5INjX_laygQ7Fwzmi4i2aBJs6mZDeOc1Flsab6ianRDIDzI2fGqThJRQXwbJ9mz_3HN-4t_nbLmqcFBEz8V_XO0JqavbeH3qT2aSEc9059cWYtDCOJ83aimxqEeFVtHTo6vp5RsL5Fyk68XaWYZLUaDud48PZSqy6n9lHVYVl5FIur8ULcsPSDFg9k8kZ70Ad8Il2qONuL_hS29lay-aPpyHd0m5GkcPPj51u&xkcb=SoD--_M3coFvlD2HAx0LbzkdCdPP&p=0&fvj=1&vjs=3
Junior Credit Risk Analyst,Network Recruitment,"Johannesburg, Gauteng",Posted 1 day ago,2022-07-06,"My client, one of the top consultancies, is looking to provide an opportunity for a Junior Credit Risk Analyst to become part of their team of risk specialists…",R300000 a year,https://za.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A6iYo3LEVtHGk8RnYq6r34rAYKW3d2fqaG6QyhKE3SfONRNIG32xS1yOf95cqT4Dy5HpWOJBFVJd4rMrQZ0MlKAbQo3fx6lDs_K0w_tRJh7HPeXngQ-Z345uGiUqv3fAIJeMM1OlohaMspVq5QPfwsQiHyU3mK8HGOa-nv3XZmquswnE2_bm22OGkrRqBIqPQ4VwuvD3IMDAxT-t6u3qE-_60ZxDPJ_PGpBQF3dQMfQ2shFbg6MQUkXFRwjYB9ASbJ7Xha_iJmTQqkrt-5INjX_laygQ7Fwzmi4i2aBJs6mZDeOc1Flsab6ianRDIDzI2fGqThJRQXwbJ9mz_3HN-4t_nbLmqcFBEz8V_XO0JqavbeH3qT2aSEc9059cWYtDCOJ83aimxqEeFVtHTo6vp5RsL5Fyk68XaWYZLUaDud48PZSqy6n9lHVYVl5FIur8ULcsPSDFg9k8kZ70Ad8Il2qONuL_hS29lay-aPpyHd0m5GkcPPj51u&xkcb=SoD--_M3coFvlD2HAx0LbzkdCdPP&p=0&fvj=1&vjs=3
Data Scientist,Dalitso Holdings,"Johannesburg, Gauteng",Posted 30+ days ago,2022-07-06,"To be responsible for utilizing their analytical, statistical and programming skills and experience to collect, clean, analyse, interpret large and/or…",R900000 - R1200000 a year,https://za.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A6iYo3LEVtHGk8RnYq6r34rAYKW3d2fqaG6QyhKE3SfONRNIG32xS1yOf95cqT4Dy5HpWOJBFVJd4rMrQZ0MlKAbQo3fx6lDs_K0w_tRJh7HPeXngQ-Z345uGiUqv3fAIJeMM1OlohaMspVq5QPfwsQiHyU3mK8HGOa-nv3XZmquswnE2_bm22OGkrRqBIqPQ4VwuvD3IMDAxT-t6u3qE-_60ZxDPJ_PGpBQF3dQMfQ2shFbg6MQUkXFRwjYB9ASbJ7Xha_iJmTQqkrt-5INjX_laygQ7Fwzmi4i2aBJs6mZDeOc1Flsab6ianRDIDzI2fGqThJRQXwbJ9mz_3HN-4t_nbLmqcFBEz8V_XO0JqavbeH3qT2aSEc9059cWYtDCOJ83aimxqEeFVtHTo6vp5RsL5Fyk68XaWYZLUaDud48PZSqy6n9lHVYVl5FIur8ULcsPSDFg9k8kZ70Ad8Il2qONuL_hS29lay-aPpyHd0m5GkcPPj51u&xkcb=SoD--_M3coFvlD2HAx0LbzkdCdPP&p=0&fvj=1&vjs=3
Junior Manager: Credit Risk,Network Recruitment,"Johannesburg, Gauteng",Posted 1 day ago,2022-07-06,This candidate will be responsible for supporting and contributing to the model development and validation function.,R800000 a year,https://za.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A6iYo3LEVtHGk8RnYq6r34rAYKW3d2fqaG6QyhKE3SfONRNIG32xS1yOf95cqT4Dy5HpWOJBFVJd4rMrQZ0MlKAbQo3fx6lDs_K0w_tRJh7HPeXngQ-Z345uGiUqv3fAIJeMM1OlohaMspVq5QPfwsQiHyU3mK8HGOa-nv3XZmquswnE2_bm22OGkrRqBIqPQ4VwuvD3IMDAxT-t6u3qE-_60ZxDPJ_PGpBQF3dQMfQ2shFbg6MQUkXFRwjYB9ASbJ7Xha_iJmTQqkrt-5INjX_laygQ7Fwzmi4i2aBJs6mZDeOc1Flsab6ianRDIDzI2fGqThJRQXwbJ9mz_3HN-4t_nbLmqcFBEz8V_XO0JqavbeH3qT2aSEc9059cWYtDCOJ83aimxqEeFVtHTo6vp5RsL5Fyk68XaWYZLUaDud48PZSqy6n9lHVYVl5FIur8ULcsPSDFg9k8kZ70Ad8Il2qONuL_hS29lay-aPpyHd0m5GkcPPj51u&xkcb=SoD--_M3coFvlD2HAx0LbzkdCdPP&p=0&fvj=1&vjs=3
Data Analyst,ASI Financial Services,"Bryanston, Gauteng",Posted 27 days ago,2022-07-06,To contribute to the organisational goals by providing support to ASI Financial Services through implementation of effective solutions and effective business…,,https://za.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A6iYo3LEVtHGk8RnYq6r34rAYKW3d2fqaG6QyhKE3SfONRNIG32xS1yOf95cqT4Dy5HpWOJBFVJd4rMrQZ0MlKAbQo3fx6lDs_K0w_tRJh7HPeXngQ-Z345uGiUqv3fAIJeMM1OlohaMspVq5QPfwsQiHyU3mK8HGOa-nv3XZmquswnE2_bm22OGkrRqBIqPQ4VwuvD3IMDAxT-t6u3qE-_60ZxDPJ_PGpBQF3dQMfQ2shFbg6MQUkXFRwjYB9ASbJ7Xha_iJmTQqkrt-5INjX_laygQ7Fwzmi4i2aBJs6mZDeOc1Flsab6ianRDIDzI2fGqThJRQXwbJ9mz_3HN-4t_nbLmqcFBEz8V_XO0JqavbeH3qT2aSEc9059cWYtDCOJ83aimxqEeFVtHTo6vp5RsL5Fyk68XaWYZLUaDud48PZSqy6n9lHVYVl5FIur8ULcsPSDFg9k8kZ70Ad8Il2qONuL_hS29lay-aPpyHd0m5GkcPPj51u&xkcb=SoD--_M3coFvlD2HAx0LbzkdCdPP&p=0&fvj=1&vjs=3
Senior Engineer - Networking,NTT Ltd,"Johannesburg, Gauteng",Posted 30+ days ago,2022-07-06,Tritt unserer wachsenden globalen NTT-Familie bei und werde Teil des weltweit größten ICT-Unternehmens (gemessen am Umsatz).,,https://za.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A6iYo3LEVtHGk8RnYq6r34rAYKW3d2fqaG6QyhKE3SfONRNIG32xS1yOf95cqT4Dy5HpWOJBFVJd4rMrQZ0MlKAbQo3fx6lDs_K0w_tRJh7HPeXngQ-Z345uGiUqv3fAIJeMM1OlohaMspVq5QPfwsQiHyU3mK8HGOa-nv3XZmquswnE2_bm22OGkrRqBIqPQ4VwuvD3IMDAxT-t6u3qE-_60ZxDPJ_PGpBQF3dQMfQ2shFbg6MQUkXFRwjYB9ASbJ7Xha_iJmTQqkrt-5INjX_laygQ7Fwzmi4i2aBJs6mZDeOc1Flsab6ianRDIDzI2fGqThJRQXwbJ9mz_3HN-4t_nbLmqcFBEz8V_XO0JqavbeH3qT2aSEc9059cWYtDCOJ83aimxqEeFVtHTo6vp5RsL5Fyk68XaWYZLUaDud48PZSqy6n9lHVYVl5FIur8ULcsPSDFg9k8kZ70Ad8Il2qONuL_hS29lay-aPpyHd0m5GkcPPj51u&xkcb=SoD--_M3coFvlD2HAx0LbzkdCdPP&p=0&fvj=1&vjs=3
Information Security Administrator C,FirstRand,"Johannesburg, Gauteng",Posted 4 days ago,2022-07-06,All appointments will be made in line with the Bank’s Employment Equity plan The Bank supports the recruitment and advancement of individuals with disabilities.,,https://za.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A6iYo3LEVtHGk8RnYq6r34rAYKW3d2fqaG6QyhKE3SfONRNIG32xS1yOf95cqT4Dy5HpWOJBFVJd4rMrQZ0MlKAbQo3fx6lDs_K0w_tRJh7HPeXngQ-Z345uGiUqv3fAIJeMM1OlohaMspVq5QPfwsQiHyU3mK8HGOa-nv3XZmquswnE2_bm22OGkrRqBIqPQ4VwuvD3IMDAxT-t6u3qE-_60ZxDPJ_PGpBQF3dQMfQ2shFbg6MQUkXFRwjYB9ASbJ7Xha_iJmTQqkrt-5INjX_laygQ7Fwzmi4i2aBJs6mZDeOc1Flsab6ianRDIDzI2fGqThJRQXwbJ9mz_3HN-4t_nbLmqcFBEz8V_XO0JqavbeH3qT2aSEc9059cWYtDCOJ83aimxqEeFVtHTo6vp5RsL5Fyk68XaWYZLUaDud48PZSqy6n9lHVYVl5FIur8ULcsPSDFg9k8kZ70Ad8Il2qONuL_hS29lay-aPpyHd0m5GkcPPj51u&xkcb=SoD--_M3coFvlD2HAx0LbzkdCdPP&p=0&fvj=1&vjs=3
Junior Java Developer,Recruitment Matters,"Johannesburg, Gauteng",Posted 30+ days ago,2022-07-06,"The Junior Java Developer will be responsible for designing, coding, modifying software, and testing customizations of various products based upon the Postilion…",,https://za.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A6iYo3LEVtHGk8RnYq6r34rAYKW3d2fqaG6QyhKE3SfONRNIG32xS1yOf95cqT4Dy5HpWOJBFVJd4rMrQZ0MlKAbQo3fx6lDs_K0w_tRJh7HPeXngQ-Z345uGiUqv3fAIJeMM1OlohaMspVq5QPfwsQiHyU3mK8HGOa-nv3XZmquswnE2_bm22OGkrRqBIqPQ4VwuvD3IMDAxT-t6u3qE-_60ZxDPJ_PGpBQF3dQMfQ2shFbg6MQUkXFRwjYB9ASbJ7Xha_iJmTQqkrt-5INjX_laygQ7Fwzmi4i2aBJs6mZDeOc1Flsab6ianRDIDzI2fGqThJRQXwbJ9mz_3HN-4t_nbLmqcFBEz8V_XO0JqavbeH3qT2aSEc9059cWYtDCOJ83aimxqEeFVtHTo6vp5RsL5Fyk68XaWYZLUaDud48PZSqy6n9lHVYVl5FIur8ULcsPSDFg9k8kZ70Ad8Il2qONuL_hS29lay-aPpyHd0m5GkcPPj51u&xkcb=SoD--_M3coFvlD2HAx0LbzkdCdPP&p=0&fvj=1&vjs=3
Data Scientist,BankservAfrica,"Johannesburg, Gauteng 2001",Posted 30+ days ago,2022-07-06,Access to financial Inclusion ensures individual growth and economic growth - securing the growth of the African nation.All bank and non-bank customers.,,https://za.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A6iYo3LEVtHGk8RnYq6r34rAYKW3d2fqaG6QyhKE3SfONRNIG32xS1yOf95cqT4Dy5HpWOJBFVJd4rMrQZ0MlKAbQo3fx6lDs_K0w_tRJh7HPeXngQ-Z345uGiUqv3fAIJeMM1OlohaMspVq5QPfwsQiHyU3mK8HGOa-nv3XZmquswnE2_bm22OGkrRqBIqPQ4VwuvD3IMDAxT-t6u3qE-_60ZxDPJ_PGpBQF3dQMfQ2shFbg6MQUkXFRwjYB9ASbJ7Xha_iJmTQqkrt-5INjX_laygQ7Fwzmi4i2aBJs6mZDeOc1Flsab6ianRDIDzI2fGqThJRQXwbJ9mz_3HN-4t_nbLmqcFBEz8V_XO0JqavbeH3qT2aSEc9059cWYtDCOJ83aimxqEeFVtHTo6vp5RsL5Fyk68XaWYZLUaDud48PZSqy6n9lHVYVl5FIur8ULcsPSDFg9k8kZ70Ad8Il2qONuL_hS29lay-aPpyHd0m5GkcPPj51u&xkcb=SoD--_M3coFvlD2HAx0LbzkdCdPP&p=0&fvj=1&vjs=3
Full Stack developer (Mid),FUSEBOX,"Rivonia, Gauteng",Posted 30+ days ago,2022-07-06,"Our Full Stack developer must have knowledge in all stages of software development.You'll be working alongside other engineers and developers, collaborating on…",,https://za.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A6iYo3LEVtHGk8RnYq6r34rAYKW3d2fqaG6QyhKE3SfONRNIG32xS1yOf95cqT4Dy5HpWOJBFVJd4rMrQZ0MlKAbQo3fx6lDs_K0w_tRJh7HPeXngQ-Z345uGiUqv3fAIJeMM1OlohaMspVq5QPfwsQiHyU3mK8HGOa-nv3XZmquswnE2_bm22OGkrRqBIqPQ4VwuvD3IMDAxT-t6u3qE-_60ZxDPJ_PGpBQF3dQMfQ2shFbg6MQUkXFRwjYB9ASbJ7Xha_iJmTQqkrt-5INjX_laygQ7Fwzmi4i2aBJs6mZDeOc1Flsab6ianRDIDzI2fGqThJRQXwbJ9mz_3HN-4t_nbLmqcFBEz8V_XO0JqavbeH3qT2aSEc9059cWYtDCOJ83aimxqEeFVtHTo6vp5RsL5Fyk68XaWYZLUaDud48PZSqy6n9lHVYVl5FIur8ULcsPSDFg9k8kZ70Ad8Il2qONuL_hS29lay-aPpyHd0m5GkcPPj51u&xkcb=SoD--_M3coFvlD2HAx0LbzkdCdPP&p=0&fvj=1&vjs=3
Data Scientist III,FirstRand,"Johannesburg, Gauteng+1 location",Posted 30+ days ago,2022-07-06,All appointments will be made in line with the Bank’s Employment Equity plan The Bank supports the recruitment and advancement of individuals with disabilities.,,https://za.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A6iYo3LEVtHGk8RnYq6r34rAYKW3d2fqaG6QyhKE3SfONRNIG32xS1yOf95cqT4Dy5HpWOJBFVJd4rMrQZ0MlKAbQo3fx6lDs_K0w_tRJh7HPeXngQ-Z345uGiUqv3fAIJeMM1OlohaMspVq5QPfwsQiHyU3mK8HGOa-nv3XZmquswnE2_bm22OGkrRqBIqPQ4VwuvD3IMDAxT-t6u3qE-_60ZxDPJ_PGpBQF3dQMfQ2shFbg6MQUkXFRwjYB9ASbJ7Xha_iJmTQqkrt-5INjX_laygQ7Fwzmi4i2aBJs6mZDeOc1Flsab6ianRDIDzI2fGqThJRQXwbJ9mz_3HN-4t_nbLmqcFBEz8V_XO0JqavbeH3qT2aSEc9059cWYtDCOJ83aimxqEeFVtHTo6vp5RsL5Fyk68XaWYZLUaDud48PZSqy6n9lHVYVl5FIur8ULcsPSDFg9k8kZ70Ad8Il2qONuL_hS29lay-aPpyHd0m5GkcPPj51u&xkcb=SoD--_M3coFvlD2HAx0LbzkdCdPP&p=0&fvj=1&vjs=3
DevOps Engineer † Semi Remote † R582 Per Hour,E-Merge,"Remote in Johannesburg, Gauteng",Posted 5 days ago,2022-07-06,We are looking for a seasoned DevOps Engineer to join a frontier organisation in the automotive industry. This opportunity will expose you to cutting-edge…,R582 an hour,https://za.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A6iYo3LEVtHGk8RnYq6r34rAYKW3d2fqaG6QyhKE3SfONRNIG32xS1yOf95cqT4Dy5HpWOJBFVJd4rMrQZ0MlKAbQo3fx6lDs_K0w_tRJh7HPeXngQ-Z345uGiUqv3fAIJeMM1OlohaMspVq5QPfwsQiHyU3mK8HGOa-nv3XZmquswnE2_bm22OGkrRqBIqPQ4VwuvD3IMDAxT-t6u3qE-_60ZxDPJ_PGpBQF3dQMfQ2shFbg6MQUkXFRwjYB9ASbJ7Xha_iJmTQqkrt-5INjX_laygQ7Fwzmi4i2aBJs6mZDeOc1Flsab6ianRDIDzI2fGqThJRQXwbJ9mz_3HN-4t_nbLmqcFBEz8V_XO0JqavbeH3qT2aSEc9059cWYtDCOJ83aimxqEeFVtHTo6vp5RsL5Fyk68XaWYZLUaDud48PZSqy6n9lHVYVl5FIur8ULcsPSDFg9k8kZ70Ad8Il2qONuL_hS29lay-aPpyHd0m5GkcPPj51u&xkcb=SoD--_M3coFvlD2HAx0LbzkdCdPP&p=0&fvj=1&vjs=3
BI and Test Analyst - BSc Computer Science,Isilumko Staffing,"Bedfordview, Gauteng",Posted 20 days ago,2022-07-06,"1-2 Years experience in BI / Data analysis.Knowledge of: VB/C#, SQL, Python or R, SharePoint, RDL reporting, SSRS reporting.",R12000 - R16000 a month,https://za.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A6iYo3LEVtHGk8RnYq6r34rAYKW3d2fqaG6QyhKE3SfONRNIG32xS1yOf95cqT4Dy5HpWOJBFVJd4rMrQZ0MlKAbQo3fx6lDs_K0w_tRJh7HPeXngQ-Z345uGiUqv3fAIJeMM1OlohaMspVq5QPfwsQiHyU3mK8HGOa-nv3XZmquswnE2_bm22OGkrRqBIqPQ4VwuvD3IMDAxT-t6u3qE-_60ZxDPJ_PGpBQF3dQMfQ2shFbg6MQUkXFRwjYB9ASbJ7Xha_iJmTQqkrt-5INjX_laygQ7Fwzmi4i2aBJs6mZDeOc1Flsab6ianRDIDzI2fGqThJRQXwbJ9mz_3HN-4t_nbLmqcFBEz8V_XO0JqavbeH3qT2aSEc9059cWYtDCOJ83aimxqEeFVtHTo6vp5RsL5Fyk68XaWYZLUaDud48PZSqy6n9lHVYVl5FIur8ULcsPSDFg9k8kZ70Ad8Il2qONuL_hS29lay-aPpyHd0m5GkcPPj51u&xkcb=SoD--_M3coFvlD2HAx0LbzkdCdPP&p=0&fvj=1&vjs=3
Data Engineer (Elastic Search),Praesignis (Pty) Ltd,"Johannesburg, Gauteng",Posted 6 days ago,2022-07-06,"Experience on ElasticSearch, need to know how it works not Relational database.CICD Pipeline (Continues Integration, Continues Deliver) Python, Logstash.",,https://za.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A6iYo3LEVtHGk8RnYq6r34rAYKW3d2fqaG6QyhKE3SfONRNIG32xS1yOf95cqT4Dy5HpWOJBFVJd4rMrQZ0MlKAbQo3fx6lDs_K0w_tRJh7HPeXngQ-Z345uGiUqv3fAIJeMM1OlohaMspVq5QPfwsQiHyU3mK8HGOa-nv3XZmquswnE2_bm22OGkrRqBIqPQ4VwuvD3IMDAxT-t6u3qE-_60ZxDPJ_PGpBQF3dQMfQ2shFbg6MQUkXFRwjYB9ASbJ7Xha_iJmTQqkrt-5INjX_laygQ7Fwzmi4i2aBJs6mZDeOc1Flsab6ianRDIDzI2fGqThJRQXwbJ9mz_3HN-4t_nbLmqcFBEz8V_XO0JqavbeH3qT2aSEc9059cWYtDCOJ83aimxqEeFVtHTo6vp5RsL5Fyk68XaWYZLUaDud48PZSqy6n9lHVYVl5FIur8ULcsPSDFg9k8kZ70Ad8Il2qONuL_hS29lay-aPpyHd0m5GkcPPj51u&xkcb=SoD--_M3coFvlD2HAx0LbzkdCdPP&p=0&fvj=1&vjs=3
Investment Analyst,Execuplace Appointments,"Johannesburg, Gauteng",Posted 11 days ago,2022-07-06,"Research reports on invetments, asset allocation and asset management.Recommendations on investment structuring at instrument and portfollio level.",R600000 - R840000 a year,https://za.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A6iYo3LEVtHGk8RnYq6r34rAYKW3d2fqaG6QyhKE3SfONRNIG32xS1yOf95cqT4Dy5HpWOJBFVJd4rMrQZ0MlKAbQo3fx6lDs_K0w_tRJh7HPeXngQ-Z345uGiUqv3fAIJeMM1OlohaMspVq5QPfwsQiHyU3mK8HGOa-nv3XZmquswnE2_bm22OGkrRqBIqPQ4VwuvD3IMDAxT-t6u3qE-_60ZxDPJ_PGpBQF3dQMfQ2shFbg6MQUkXFRwjYB9ASbJ7Xha_iJmTQqkrt-5INjX_laygQ7Fwzmi4i2aBJs6mZDeOc1Flsab6ianRDIDzI2fGqThJRQXwbJ9mz_3HN-4t_nbLmqcFBEz8V_XO0JqavbeH3qT2aSEc9059cWYtDCOJ83aimxqEeFVtHTo6vp5RsL5Fyk68XaWYZLUaDud48PZSqy6n9lHVYVl5FIur8ULcsPSDFg9k8kZ70Ad8Il2qONuL_hS29lay-aPpyHd0m5GkcPPj51u&xkcb=SoD--_M3coFvlD2HAx0LbzkdCdPP&p=0&fvj=1&vjs=3
Software Engineer,Tower Group,"Johannesburg, Gauteng",Posted 8 days ago,2022-07-06,"Software Engineer required for creating prototypes, designing and building modules and solutions in an iterative agile cycle, develop, maintain, and optimize…",R500 - R550 a day,https://za.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A6iYo3LEVtHGk8RnYq6r34rAYKW3d2fqaG6QyhKE3SfONRNIG32xS1yOf95cqT4Dy5HpWOJBFVJd4rMrQZ0MlKAbQo3fx6lDs_K0w_tRJh7HPeXngQ-Z345uGiUqv3fAIJeMM1OlohaMspVq5QPfwsQiHyU3mK8HGOa-nv3XZmquswnE2_bm22OGkrRqBIqPQ4VwuvD3IMDAxT-t6u3qE-_60ZxDPJ_PGpBQF3dQMfQ2shFbg6MQUkXFRwjYB9ASbJ7Xha_iJmTQqkrt-5INjX_laygQ7Fwzmi4i2aBJs6mZDeOc1Flsab6ianRDIDzI2fGqThJRQXwbJ9mz_3HN-4t_nbLmqcFBEz8V_XO0JqavbeH3qT2aSEc9059cWYtDCOJ83aimxqEeFVtHTo6vp5RsL5Fyk68XaWYZLUaDud48PZSqy6n9lHVYVl5FIur8ULcsPSDFg9k8kZ70Ad8Il2qONuL_hS29lay-aPpyHd0m5GkcPPj51u&xkcb=SoD--_M3coFvlD2HAx0LbzkdCdPP&p=0&fvj=1&vjs=3
Senior Data Scientist,DataOrbis,"Johannesburg, Gauteng",Posted 7 days ago,2022-07-06,"Ability to program data using python, R.Decades-long customer relationships bear testament to our customer-centric culture, exceptional service and innovative…",,https://za.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A6iYo3LEVtHGk8RnYq6r34rAYKW3d2fqaG6QyhKE3SfONRNIG32xS1yOf95cqT4Dy5HpWOJBFVJd4rMrQZ0MlKAbQo3fx6lDs_K0w_tRJh7HPeXngQ-Z345uGiUqv3fAIJeMM1OlohaMspVq5QPfwsQiHyU3mK8HGOa-nv3XZmquswnE2_bm22OGkrRqBIqPQ4VwuvD3IMDAxT-t6u3qE-_60ZxDPJ_PGpBQF3dQMfQ2shFbg6MQUkXFRwjYB9ASbJ7Xha_iJmTQqkrt-5INjX_laygQ7Fwzmi4i2aBJs6mZDeOc1Flsab6ianRDIDzI2fGqThJRQXwbJ9mz_3HN-4t_nbLmqcFBEz8V_XO0JqavbeH3qT2aSEc9059cWYtDCOJ83aimxqEeFVtHTo6vp5RsL5Fyk68XaWYZLUaDud48PZSqy6n9lHVYVl5FIur8ULcsPSDFg9k8kZ70Ad8Il2qONuL_hS29lay-aPpyHd0m5GkcPPj51u&xkcb=SoD--_M3coFvlD2HAx0LbzkdCdPP&p=0&fvj=1&vjs=3
